Symbol,Date,Close
NIFTYBEES,2016-12-23,816.46
NIFTYBEES,2016-12-26,807.82
NIFTYBEES,2016-12-27,818.64
NIFTYBEES,2016-12-28,818.57
NIFTYBEES,2016-12-29,825.81
NIFTYBEES,2016-12-30,834.89
NIFTYBEES,2017-01-02,835.11
NIFTYBEES,2017-01-03,836.12
NIFTYBEES,2017-01-04,835.8
NIFTYBEES,2017-01-05,843.9
NIFTYBEES,2017-01-06,842.32
NIFTYBEES,2017-01-09,841.29
NIFTYBEES,2017-01-10,844.47
NIFTYBEES,2017-01-11,854.3
NIFTYBEES,2017-01-12,856.65
NIFTYBEES,2017-01-13,856.01
NIFTYBEES,2017-01-16,857.67
NIFTYBEES,2017-01-17,855.6
NIFTYBEES,2017-01-18,857.48
NIFTYBEES,2017-01-19,859.51
NIFTYBEES,2017-01-20,851.03
NIFTYBEES,2017-01-23,854.57
NIFTYBEES,2017-01-24,862.82
NIFTYBEES,2017-01-25,874.59
NIFTYBEES,2017-01-27,879.88
NIFTYBEES,2017-01-30,879.4
NIFTYBEES,2017-01-31,872.28
NIFTYBEES,2017-02-01,887.28
NIFTYBEES,2017-02-02,888.96
NIFTYBEES,2017-02-03,889.93
NIFTYBEES,2017-02-06,896.59
NIFTYBEES,2017-02-07,893.72
NIFTYBEES,2017-02-08,894.36
NIFTYBEES,2017-02-09,894.56
NIFTYBEES,2017-02-10,895.89
NIFTYBEES,2017-02-13,897.0
NIFTYBEES,2017-02-14,897.55
NIFTYBEES,2017-02-15,890.41
NIFTYBEES,2017-02-16,895.12
NIFTYBEES,2017-02-17,899.5
NIFTYBEES,2017-02-20,904.99
NIFTYBEES,2017-02-21,907.16
NIFTYBEES,2017-02-22,909.56
NIFTYBEES,2017-02-23,911.31
NIFTYBEES,2017-02-27,907.49
NIFTYBEES,2017-02-28,906.65
NIFTYBEES,2017-03-01,915.96
NIFTYBEES,2017-03-02,910.72
NIFTYBEES,2017-03-03,910.44
NIFTYBEES,2017-03-06,915.56
NIFTYBEES,2017-03-07,913.1
NIFTYBEES,2017-03-08,910.79
NIFTYBEES,2017-03-09,914.95
NIFTYBEES,2017-03-10,914.5
NIFTYBEES,2017-03-14,927.37
NIFTYBEES,2017-03-15,926.98
NIFTYBEES,2017-03-16,934.64
NIFTYBEES,2017-03-17,934.35
NIFTYBEES,2017-03-20,932.61
NIFTYBEES,2017-03-21,933.05
NIFTYBEES,2017-03-22,922.75
NIFTYBEES,2017-03-23,930.01
NIFTYBEES,2017-03-24,933.13
NIFTYBEES,2017-03-27,926.0
NIFTYBEES,2017-03-28,929.84
NIFTYBEES,2017-03-29,932.36
NIFTYBEES,2017-03-30,937.57
NIFTYBEES,2017-03-31,938.27
NIFTYBEES,2017-04-03,944.12
NIFTYBEES,2017-04-05,945.33
NIFTYBEES,2017-04-06,945.41
NIFTYBEES,2017-04-07,939.65
NIFTYBEES,2017-04-10,939.19
NIFTYBEES,2017-04-11,943.44
NIFTYBEES,2017-04-12,940.37
NIFTYBEES,2017-04-13,935.06
NIFTYBEES,2017-04-17,934.54
NIFTYBEES,2017-04-18,929.58
NIFTYBEES,2017-04-19,930.73
NIFTYBEES,2017-04-20,933.59
NIFTYBEES,2017-04-21,931.12
NIFTYBEES,2017-04-24,941.48
NIFTYBEES,2017-04-25,949.22
NIFTYBEES,2017-04-26,954.08
NIFTYBEES,2017-04-27,953.49
NIFTYBEES,2017-04-28,949.88
NIFTYBEES,2017-05-02,950.33
NIFTYBEES,2017-05-03,950.44
NIFTYBEES,2017-05-04,955.64
NIFTYBEES,2017-05-05,949.02
NIFTYBEES,2017-05-08,950.27
NIFTYBEES,2017-05-09,951.12
NIFTYBEES,2017-05-10,960.03
NIFTYBEES,2017-05-11,961.13
NIFTYBEES,2017-05-12,959.47
